patch name,Group
Platte_20220516_Maize_005_0020.png,1
Platte_20220516_Maize_005_0038.png,1
Platte_20220516_Maize_005_0039.png,2
Platte_20220516_Maize_005_0040.png,1
Platte_20220516_Maize_005_0041.png,2
Platte_20220516_Maize_005_0042.png,2
Platte_20220516_Maize_005_0043.png,2
Platte_20220516_Maize_005_0044.png,2
Platte_20220516_Maize_005_0045.png,2
Platte_20220516_Maize_005_0046.png,3
Platte_20220516_Maize_005_0047.png,3
Platte_20220516_Maize_005_0048.png,2
Platte_20220516_Maize_005_0049.png,2
Platte_20220516_Maize_005_0050.png,2
Platte_20220516_Maize_005_0051.png,2
Platte_20220516_Maize_005_0052.png,2
Platte_20220516_Maize_005_0053.png,2
Platte_20220516_Maize_005_0054.png,2
Platte_20220516_Maize_005_0055.png,2
Platte_20220516_Maize_005_0056.png,2
Platte_20220516_Maize_005_0057.png,2
Platte_20220516_Maize_005_0058.png,2
Platte_20220516_Maize_005_0059.png,2
Platte_20220516_Maize_005_0060.png,2
Platte_20220516_Maize_005_0061.png,2
Platte_20220516_Maize_005_0062.png,2
Platte_20220516_Maize_005_0063.png,2
Platte_20220516_Maize_049_0034.png,1
Platte_20220516_Maize_049_0035.png,2
Platte_20220516_Maize_049_0036.png,1
Platte_20220516_Maize_049_0037.png,2
Platte_20220516_Maize_049_0038.png,1
Platte_20220516_Maize_049_0039.png,1
Platte_20220516_Maize_049_0040.png,1
Platte_20220516_Maize_049_0041.png,1
Platte_20220516_Maize_049_0042.png,1
Platte_20220516_Maize_049_0043.png,1
Platte_20220516_Maize_049_0044.png,1
Platte_20220516_Maize_049_0045.png,2
Platte_20220516_Maize_049_0046.png,2
Platte_20220516_Maize_049_0047.png,1
Platte_20220516_Maize_049_0048.png,1
Platte_20220516_Maize_049_0049.png,2
Platte_20220516_Maize_049_0050.png,1
Platte_20220516_Maize_049_0051.png,2
Platte_20220516_Maize_049_0052.png,1
Platte_20220516_Maize_049_0053.png,1
Platte_20220516_Maize_049_0054.png,1
Platte_20220516_Maize_049_0055.png,1
Platte_20220516_Maize_049_0056.png,1
Platte_20220516_Maize_049_0057.png,2
Platte_20220516_Maize_049_0058.png,1
Platte_20220516_Maize_049_0059.png,1
Platte_20220516_Maize_049_0060.png,1
Platte_20220516_Maize_049_0061.png,1
Platte_20220516_Maize_049_0062.png,2
Platte_20220516_Maize_049_0063.png,1
Platte_20220516_Maize_049_0064.png,2
Platte_20220516_Maize_049_0065.png,2
Platte_20220516_Maize_049_0066.png,2
Platte_20220516_Maize_049_0067.png,1
Platte_20220516_Maize_049_0068.png,1
Platte_20220516_Maize_049_0069.png,2
Platte_20220516_Maize_049_0070.png,2
Platte_20220516_Maize_049_0071.png,2
